vintage,grade,dr_12m,dr_24m,dr_36m,prepayment_rate,loan_count
2013Q4,B,0.02654867256637168,0.06914166486797611,0.09446722785811928,0.5373767896971006,13899.0
2013Q4,C,0.047718361558354884,0.11287227830149328,0.15541836990072577,0.5318261449904063,11987.0
2013Q4,D,0.07202216066481995,0.1568741799096078,0.2064440880594839,0.510424260096224,6859.0
2013Q4,E,0.09887487214456188,0.19706784861916127,0.2584384589157859,0.5005114217524719,2933.0
2013Q4,F,0.12388663967611337,0.2145748987854251,0.2890688259109312,0.497165991902834,1235.0
2013Q4,G,0.08955223880597014,0.21641791044776118,0.2798507462686567,0.5261194029850746,268.0
2014Q1,A,0.01299671347475351,0.03764565282342396,0.05153869136540185,0.5445174783388109,6694.0
2014Q1,B,0.02846342005781632,0.07464235416203395,0.10065969905863167,0.5307241864947002,13491.0
2014Q1,C,0.04348458406050029,0.11220186154741128,0.16012216404886562,0.5258871436881908,13752.0
2014Q1,D,0.0682643427741467,0.15625756475429678,0.21253933672234326,0.5205761316872428,8262.0
2014Q1,E,0.09284051222351572,0.2080908032596042,0.2756111757857974,0.490395809080326,3436.0
2014Q1,F,0.12533572068039392,0.23634735899731424,0.3178155774395703,0.4521038495971352,1117.0
2014Q1,G,0.15708812260536398,0.30268199233716475,0.3831417624521073,0.4789272030651341,261.0
2014Q2,A,0.014150313709785076,0.039380590041382994,0.05726872246696035,0.5539981310906421,7491.0
2014Q2,B,0.031245640954107964,0.07623099455991073,0.10684893290556563,0.5414283721579021,14338.0
2014Q2,C,0.05339641770868537,0.12551537681649205,0.1763433592429875,0.5605947955390335,14795.0
2014Q2,D,0.07945597709377238,0.17752326413743735,0.24307188874118008,0.5582370385519991,9779.0
2014Q2,E,0.10758219637664952,0.2272422276895549,0.31089241780362337,0.5204652203086558,4471.0
2014Q2,F,0.1495253164556962,0.26424050632911394,0.3425632911392405,0.48813291139240506,1264.0
2014Q2,G,0.1792452830188679,0.2861635220125786,0.39308176100628933,0.5345911949685535,318.0
2014Q3,A,0.013510419051980764,0.03217311655598809,0.0492328829860316,0.5761392260132814,8734.0
2014Q3,B,0.030914257988493798,0.08165245719830873,0.11215082830803355,0.5573577320302211,14427.0
2014Q3,C,0.05786146234194613,0.13675096206706983,0.1838922484881803,0.565351841671248,14552.0
2014Q3,D,0.08177222717811478,0.17811477847160273,0.23718901774209536,0.5630885122410546,10089.0
2014Q3,E,0.11972249752229931,0.2356788899900892,0.31377601585728443,0.5209117938553023,5045.0
2014Q3,F,0.1510272071071627,0.2892837312604109,0.35147140477512495,0.47529150471960024,1801.0
2014Q3,G,0.1969439728353141,0.3599320882852292,0.4363327674023769,0.48896434634974534,589.0
2014Q4,A,0.012889780796542143,0.03836060512503859,0.055804260574251315,0.5504013584439642,12956.0
2014Q4,B,0.029014196029636334,0.0805384310842147,0.11407725807363837,0.5776256999038516,17681.0
2014Q4,C,0.061691491006545376,0.14240065969180024,0.19424831211668298,0.551821883213936,19403.0
2014Q4,D,0.09536589729826445,0.21103954195741637,0.27527285739846125,0.5221864376453749,11178.0
2014Q4,E,0.14372277977655748,0.29369437606513915,0.3645142965347472,0.5057754213217194,5281.0
2014Q4,F,0.17945383615084526,0.3439531859557867,0.4187256176853056,0.49349804941482445,1538.0
2014Q4,G,0.22284122562674094,0.4401114206128134,0.520891364902507,0.4178272980501393,359.0
2015Q1,A,0.012719480160376054,0.04002488593944421,0.05675376745472142,0.5363611226323793,14466.0
2015Q1,B,0.03149031441643142,0.09004185729582401,0.1246471332619488,0.5641974106882118,20546.0
2015Q1,C,0.06174496644295302,0.15065956954408702,0.20208285119185374,0.5468641518167091,21605.0
2015Q1,D,0.10431385587232982,0.22583326406782478,0.2934918128168897,0.5088521319923531,12031.0
2015Q1,E,0.1514342895263509,0.29986657771847897,0.37691794529686456,0.5010006671114076,5996.0
2015Q1,F,0.19515079834417504,0.38024837374334713,0.46540508574807804,0.46422235363690123,1691.0
